Lifetime_Gross_Rank,Movie_Title,Lifetime_Gross,Domestic_Distributor,Budget,MPAA,Running_Time_Minutes,Genres
390.0,Peter Rabbit ,351266000.0,Sony Pictures Releasing,50000000.0,PG,95.0,Adventure Comedy Family Fantasy
391.0,Speed ,350448000.0,Twentieth Century Fox,30000000.0,R,116.0,Action Adventure Thriller
392.0,Dinosaur ,349823000.0,Walt Disney Studios Motion Pictures,127500000.0,PG,82.0,Adventure Animation Family Thriller
393.0,Mary Poppins Returns ,349538000.0,Walt Disney Studios Motion Pictures,130000000.0,PG,130.0,Comedy Family Fantasy Musical
394.0,Deep Impact ,349465000.0,Paramount Pictures,,PG-13,120.0,Action Drama Romance Sci-Fi Thriller
395.0,The Lorax ,348840000.0,Universal Pictures,70000000.0,PG,86.0,Adventure Animation Drama Family Fantasy Musical
396.0,The Maze Runner ,348320000.0,Twentieth Century Fox,34000000.0,PG-13,113.0,Action Mystery Sci-Fi Thriller
397.0,Spirited Away ,347743000.0,Walt Disney Studios Motion Pictures,,PG,125.0,Adventure Animation Family Fantasy Mystery
398.0,The Smurfs 2 ,347545000.0,Sony Pictures Releasing,105000000.0,PG,105.0,Adventure Animation Comedy Family Fantasy
399.0,National Treasure ,347512000.0,Walt Disney Studios Motion Pictures,100000000.0,PG,131.0,Action Adventure Mystery Thriller
400.0,Rush Hour 2 ,347326000.0,New Line Cinema,90000000.0,PG-13,90.0,Action Comedy Crime Thriller
401.0,Trolls ,346864000.0,Twentieth Century Fox,125000000.0,PG,92.0,Adventure Animation Comedy Family Fantasy Musical
402.0,xXx: Return of Xander Cage ,346118000.0,Paramount Pictures,85000000.0,PG-13,107.0,Action Adventure Thriller
403.0,Pocahontas ,346080000.0,Walt Disney Studios Motion Pictures,,G,81.0,Adventure Animation Drama Family Musical Romance
404.0,How the Grinch Stole Christmas ,345141000.0,Universal Pictures,123000000.0,PG,104.0,Comedy Family Fantasy
405.0,Star Trek Beyond ,343472000.0,Paramount Pictures,185000000.0,PG-13,122.0,Action Adventure Sci-Fi Thriller
406.0,Alvin and the Chipmunks: Chipwrecked ,342695000.0,Twentieth Century Fox,75000000.0,G,87.0,Adventure Animation Comedy Family Fantasy Music
407.0,Wanted ,342463000.0,Universal Pictures,75000000.0,R,110.0,Action Crime Fantasy Thriller
408.0,The Flintstones ,341631000.0,Universal Pictures,46000000.0,PG,91.0,Comedy Family Fantasy
409.0,A Quiet Place ,340939000.0,Paramount Pictures,17000000.0,PG-13,90.0,Drama Horror Sci-Fi
410.0,Enchanted ,340488000.0,Walt Disney Studios Motion Pictures,85000000.0,PG,107.0,Animation Comedy Family Fantasy Musical Romance
411.0,Over the Hedge ,339796000.0,DreamWorks,,PG,83.0,Adventure Animation Comedy Family Fantasy
412.0,300: Rise of an Empire ,337580000.0,Warner Bros.,110000000.0,R,102.0,Action Drama
413.0,Batman Forever ,336568000.0,Warner Bros.,100000000.0,PG-13,121.0,Action Adventure Fantasy
414.0,Prince of Persia: The Sands of Time ,336366000.0,Walt Disney Studios Motion Pictures,200000000.0,PG-13,116.0,Action Fantasy
415.0,Back to the Future Part II ,335949000.0,Universal Pictures,40000000.0,,108.0,Adventure Comedy Sci-Fi
416.0,The Curious Case of Benjamin Button ,335803000.0,Paramount Pictures,150000000.0,PG-13,166.0,Drama Fantasy Romance
417.0,Journey 2: The Mysterious Island ,335260000.0,Warner Bros.,79000000.0,PG,94.0,Action Adventure Comedy Family Fantasy Sci-Fi
418.0,The Rock ,335063000.0,Walt Disney Studios Motion Pictures,75000000.0,R,136.0,Action Adventure Thriller
419.0,The Great Wall ,334934000.0,Universal Pictures,150000000.0,PG-13,103.0,Action Adventure Fantasy Thriller
420.0,Now You See Me 2 ,334898000.0,Lionsgate,,PG-13,129.0,Action Adventure Comedy Crime Mystery Thriller
421.0,Never Say Die ,20656.0,,,,,Comedy Fantasy Sport
422.0,Fantastic Four ,333536000.0,Twentieth Century Fox,100000000.0,PG-13,106.0,Action Adventure Fantasy Sci-Fi
423.0,Indiana Jones and the Temple of Doom ,333107000.0,Paramount Pictures,28000000.0,,118.0,Action Adventure
424.0,Tomorrow Never Dies ,333011000.0,Metro-Goldwyn-Mayer (MGM),,PG-13,119.0,Action Adventure Thriller
425.0,The Good Dinosaur ,332208000.0,Walt Disney Studios Motion Pictures,,PG,93.0,Adventure Animation Comedy Drama Family Fantasy
426.0,22 Jump Street ,331334000.0,Sony Pictures Releasing,50000000.0,R,112.0,Action Comedy Crime
427.0,Meet the Parents ,330444000.0,Universal Pictures,55000000.0,PG-13,108.0,Comedy Romance
428.0,Green Book ,329975000.0,Universal Pictures,23000000.0,PG-13,130.0,Biography Comedy Drama Music
429.0,Who Framed Roger Rabbit ,329804000.0,Walt Disney Studios Motion Pictures,70000000.0,,104.0,Adventure Animation Comedy Crime Family Fantasy Mystery
430.0,Black Swan ,329398000.0,Fox Searchlight Pictures,13000000.0,R,108.0,Drama Thriller
431.0,The Perfect Storm ,328718000.0,Warner Bros.,140000000.0,PG-13,130.0,Action Adventure Drama Thriller
432.0,Crocodile Dundee ,328204000.0,Paramount Pictures,,,97.0,Action Adventure Comedy
433.0,The Devil Wears Prada ,327894000.0,Twentieth Century Fox,35000000.0,PG-13,109.0,Comedy Drama
434.0,Crazy Alien ,77113000.0,,,,,Comedy Sci-Fi
435.0,Se7en ,327334000.0,New Line Cinema,33000000.0,R,127.0,Crime Drama Mystery Thriller
436.0,John Wick: Chapter 3 - Parabellum ,326710000.0,Lionsgate,,R,131.0,Action Crime Thriller
437.0,Taken 3 ,326479000.0,Twentieth Century Fox,48000000.0,PG-13,108.0,Action Thriller
438.0,The Hunchback of Notre Dame ,325339000.0,Walt Disney Studios Motion Pictures,100000000.0,,91.0,Animation Drama Family Musical Romance
439.0,A Christmas Carol ,325287000.0,Walt Disney Studios Motion Pictures,200000000.0,PG,96.0,Animation Drama Family Fantasy
440.0,The SpongeBob Movie: Sponge Out of Water ,325186000.0,Paramount Pictures,74000000.0,PG,92.0,Adventure Animation Comedy Family Fantasy
441.0,Schindler's List ,322243000.0,Universal Pictures,22000000.0,R,195.0,Biography Drama History
442.0,Megamind ,321886000.0,DreamWorks,130000000.0,PG,95.0,Action Animation Comedy Family Sci-Fi
443.0,Lethal Weapon 3 ,321732000.0,Warner Bros.,35000000.0,R,118.0,Action Crime Thriller
444.0,The Ugly Truth ,321683000.0,Sony Pictures Releasing,38000000.0,R,96.0,Comedy Romance
445.0,Robin Hood ,321670000.0,Universal Pictures,200000000.0,PG-13,140.0,Action Drama History Romance
446.0,Inglourious Basterds ,321456000.0,The Weinstein Company,70000000.0,R,153.0,Adventure Drama War
447.0,101 Dalmatians ,320689000.0,Walt Disney Studios Motion Pictures,,,103.0,Adventure Comedy Crime Family
448.0,The Conjuring 2 ,320393000.0,Warner Bros.,40000000.0,R,134.0,Horror Mystery Thriller
449.0,Fatal Attraction ,320146000.0,Paramount Pictures,,,119.0,Drama Thriller
450.0,The Last Airbender ,319714000.0,Paramount Pictures,150000000.0,PG,103.0,Action Adventure Family Fantasy
451.0,The Conjuring ,319495000.0,Warner Bros.,20000000.0,R,112.0,Horror Mystery Thriller
452.0,The Proposal ,317375000.0,Walt Disney Studios Motion Pictures,40000000.0,PG-13,108.0,Comedy Drama Romance
453.0,A Beautiful Mind ,316791000.0,Universal Pictures,58000000.0,PG-13,135.0,Biography Drama
454.0,Beverly Hills Cop ,316360000.0,Paramount Pictures,,,105.0,Action Comedy Crime Thriller
455.0,Air Force One ,315156000.0,Sony Pictures Releasing,85000000.0,R,124.0,Action Drama Thriller
456.0,The Expendables 2 ,314976000.0,Lionsgate,100000000.0,R,103.0,Action Adventure Thriller
457.0,Chicken Little ,314433000.0,Walt Disney Studios Motion Pictures,150000000.0,G,81.0,Adventure Animation Comedy Family Fantasy Sci-Fi
458.0,As Good as It Gets ,314178000.0,Sony Pictures Releasing,50000000.0,PG-13,139.0,Comedy Drama Romance
459.0,The Polar Express ,313500000.0,Warner Bros.,165000000.0,,100.0,Adventure Animation Comedy Family Fantasy Musical
460.0,Maze Runner: The Scorch Trials ,312296000.0,Twentieth Century Fox,61000000.0,PG-13,131.0,Action Adventure Sci-Fi Thriller
461.0,Resident Evil: The Final Chapter ,312243000.0,Screen Gems,40000000.0,R,107.0,Action Horror Sci-Fi Thriller
462.0,Austin Powers: The Spy Who Shagged Me ,312017000.0,New Line Cinema,33000000.0,PG-13,95.0,Action Adventure Comedy Crime
463.0,The Lego Batman Movie ,311950000.0,Warner Bros.,80000000.0,PG,104.0,Action Animation Comedy Family
464.0,Ocean's Thirteen ,311313000.0,Warner Bros.,,PG-13,122.0,Action Crime Thriller
465.0,Little Fockers ,310651000.0,Universal Pictures,100000000.0,PG-13,98.0,Comedy Romance
466.0,Bolt ,309980000.0,Walt Disney Studios Motion Pictures,150000000.0,PG,96.0,Adventure Animation Comedy Drama Family
467.0,Ransom ,309493000.0,Walt Disney Studios Motion Pictures,,R,121.0,Action Crime Thriller
468.0,Runaway Bride ,309460000.0,Paramount Pictures,70000000.0,PG,116.0,Comedy Romance
469.0,The Blind Side ,309208000.0,Warner Bros.,29000000.0,PG-13,129.0,Biography Drama Sport
470.0,The Ex-File 3: The Return of The Exes ,307592000.0,China Lion Film Distribution,,,120.0,Comedy Romance
471.0,The Fault in Our Stars ,307167000.0,Twentieth Century Fox,12000000.0,PG-13,126.0,Drama Romance
472.0,The Pursuit of Happyness ,307128000.0,Sony Pictures Releasing,55000000.0,PG-13,117.0,Biography Drama
473.0,Rise of the Guardians ,306942000.0,DreamWorks,145000000.0,PG,97.0,Action Adventure Animation Comedy Family Fantasy Sci-Fi
474.0,Close Encounters of the Third Kind ,306898000.0,Columbia Pictures,,,138.0,Drama Sci-Fi
475.0,Chicago ,306777000.0,Miramax,45000000.0,PG-13,113.0,Comedy Crime Musical
476.0,Annabelle: Creation ,306516000.0,Warner Bros.,15000000.0,R,109.0,Horror Mystery Thriller
477.0,Wonder ,305938000.0,Lionsgate,,PG,113.0,Drama Family
478.0,Skyscraper ,304869000.0,Universal Pictures,125000000.0,PG-13,102.0,Action Adventure Thriller
479.0,A Good Day to Die Hard ,304654000.0,Twentieth Century Fox,92000000.0,R,98.0,Action Thriller
480.0,Mulan ,304320000.0,Walt Disney Studios Motion Pictures,,,88.0,Adventure Animation Family Fantasy Musical War
481.0,Dangal ,303724000.0,UTV Motion Pictures,,,161.0,Action Biography Drama Sport
482.0,Passengers ,303144000.0,Sony Pictures Releasing,110000000.0,PG-13,116.0,Drama Romance Sci-Fi Thriller
483.0,Battleship ,303025000.0,Universal Pictures,209000000.0,PG-13,131.0,Action Adventure Sci-Fi Thriller
484.0,Liar Liar ,302711000.0,Universal Pictures,,PG-13,86.0,Comedy Fantasy
485.0,G.I. Joe: The Rise of Cobra ,302469000.0,Paramount Pictures,175000000.0,PG-13,118.0,Action Adventure Sci-Fi Thriller
486.0,Wrath of the Titans ,301970000.0,Warner Bros.,150000000.0,PG-13,99.0,Action Adventure Fantasy
487.0,Fantastic 4: Rise of the Silver Surfer ,301913000.0,Twentieth Century Fox,130000000.0,PG,92.0,Action Adventure Fantasy Sci-Fi
488.0,Hook ,300855000.0,TriStar Pictures,70000000.0,,142.0,Adventure Comedy Family Fantasy
489.0,Rocky IV ,300474000.0,United Artists,,,91.0,Drama Sport
490.0,Superman ,300452000.0,Warner Bros.,55000000.0,PG,143.0,Action Adventure Drama Sci-Fi
491.0,Rambo: First Blood Part II ,300400000.0,TriStar Pictures,,,96.0,Action Adventure Thriller
492.0,Resident Evil: Afterlife ,300228000.0,Screen Gems,60000000.0,R,96.0,Action Adventure Horror Sci-Fi
493.0,Van Helsing ,300158000.0,Universal Pictures,160000000.0,PG-13,131.0,Action Adventure Fantasy
494.0,Stuart Little ,300135000.0,Sony Pictures Releasing,133000000.0,PG,84.0,Adventure Comedy Family Fantasy
495.0,Beverly Hills Cop II ,299965000.0,Paramount Pictures,,,100.0,Action Comedy Crime Thriller
496.0,Alice Through the Looking Glass ,299457000.0,Walt Disney Studios Motion Pictures,170000000.0,PG,113.0,Adventure Family Fantasy
497.0,My Best Friend's Wedding ,299289000.0,Sony Pictures Releasing,38000000.0,PG-13,105.0,Comedy Drama Romance
498.0,Real Steel ,299269000.0,Walt Disney Studios Motion Pictures,,PG-13,127.0,Action Drama Family Sci-Fi Sport
499.0,Horton Hears a Who! ,298573000.0,Twentieth Century Fox,85000000.0,,86.0,Adventure Animation Comedy Family Fantasy
500.0,Ocean's Eight ,297719000.0,Warner Bros.,70000000.0,PG-13,110.0,Action Comedy Crime Thriller
501.0,Insurgent ,297003000.0,Lionsgate,110000000.0,PG-13,119.0,Action Adventure Sci-Fi Thriller
502.0,Look Who's Talking ,297000000.0,TriStar Pictures,,,93.0,Comedy
503.0,Austin Powers in Goldmember ,296939000.0,New Line Cinema,63000000.0,PG-13,94.0,Action Adventure Comedy Crime
504.0,Miss Peregrine's Home for Peculiar Children ,296482000.0,Twentieth Century Fox,110000000.0,PG-13,127.0,Adventure Drama Fantasy Thriller
505.0,X-Men ,296340000.0,Twentieth Century Fox,75000000.0,PG-13,104.0,Action Adventure Sci-Fi
506.0,Ferdinand ,296069000.0,Twentieth Century Fox,111000000.0,PG,108.0,Adventure Animation Comedy Family Fantasy
507.0,Ghostbusters ,295744000.0,Columbia Pictures,30000000.0,,105.0,Action Comedy Fantasy
508.0,Shutter Island ,294804000.0,Paramount Pictures,80000000.0,R,138.0,Mystery Thriller
509.0,Doctor Dolittle ,294457000.0,Twentieth Century Fox,,PG-13,85.0,Comedy Family Fantasy
510.0,Bee Movie ,293514000.0,DreamWorks,150000000.0,PG,91.0,Adventure Animation Comedy Family
511.0,Salt ,293503000.0,Sony Pictures Releasing,110000000.0,PG-13,100.0,Action Mystery Thriller
512.0,G-Force ,292818000.0,Walt Disney Studios Motion Pictures,150000000.0,PG,88.0,Action Adventure Animation Comedy Family Fantasy Sci-Fi
513.0,The Departed ,291465000.0,Warner Bros.,90000000.0,R,151.0,Crime Drama Thriller
514.0,What Lies Beneath ,291420000.0,DreamWorks Distribution,100000000.0,PG-13,130.0,Drama Fantasy Horror Mystery Thriller
515.0,Pacific Rim: Uprising ,290930000.0,Universal Pictures,150000000.0,PG-13,111.0,Action Adventure Sci-Fi
516.0,The Bourne Supremacy ,290835000.0,Universal Pictures,75000000.0,PG-13,108.0,Action Mystery Thriller
517.0,Sex and the City 2 ,290745000.0,Warner Bros.,100000000.0,R,146.0,Comedy Drama Romance
518.0,Shakespeare in Love ,289318000.0,Miramax,25000000.0,R,123.0,Comedy Drama History Romance
519.0,Divergent ,288886000.0,Lionsgate,85000000.0,PG-13,139.0,Action Adventure Mystery Sci-Fi
520.0,Coming to America ,288752000.0,Paramount Pictures,,,116.0,Comedy Romance
521.0,Wedding Crashers ,288468000.0,New Line Cinema,40000000.0,R,119.0,Comedy Romance
522.0,Bridesmaids ,288384000.0,Universal Pictures,32500000.0,R,125.0,Comedy Romance
523.0,Maze Runner: The Death Cure ,288175000.0,Twentieth Century Fox,62000000.0,PG-13,143.0,Action Adventure Sci-Fi Thriller
524.0,Casper ,287928000.0,Universal Pictures,,PG,100.0,Comedy Family Fantasy
525.0,American Pie 2 ,287554000.0,Universal Pictures,30000000.0,R,108.0,Comedy
526.0,Knives Out ,287429000.0,Lionsgate,40000000.0,PG-13,131.0,Comedy Crime Drama Mystery Thriller
527.0,Pitch Perfect 2 ,287144000.0,Universal Pictures,29000000.0,PG-13,115.0,Comedy Music
528.0,Knowing ,287047000.0,,,PG-13,121.0,Action Drama Mystery Sci-Fi Thriller
529.0,The Green Mile ,286801000.0,Warner Bros.,60000000.0,R,189.0,Crime Drama Fantasy Mystery
530.0,Oblivion ,286169000.0,Universal Pictures,120000000.0,PG-13,124.0,Action Adventure Sci-Fi
531.0,Elysium ,286141000.0,TriStar Pictures,115000000.0,R,109.0,Action Drama Sci-Fi
532.0,Lethal Weapon 4 ,285445000.0,Warner Bros.,140000000.0,R,127.0,Action Crime Thriller
533.0,John Carter ,284139000.0,Walt Disney Studios Motion Pictures,250000000.0,PG-13,132.0,Action Adventure Sci-Fi
534.0,Paddington ,282839000.0,,55000000.0,PG,95.0,Adventure Comedy Family Fantasy
535.0,Turbo ,282571000.0,Twentieth Century Fox,135000000.0,PG,96.0,Adventure Animation Comedy Family Sci-Fi Sport
536.0,Bridget Jones's Diary ,281930000.0,Miramax,25000000.0,R,97.0,Comedy Drama Romance
537.0,The Tourist ,278780000.0,Sony Pictures Releasing,100000000.0,PG-13,103.0,Action Adventure Crime Mystery Romance Thriller
538.0,Split ,278454000.0,Universal Pictures,9000000.0,PG-13,117.0,Horror Thriller
539.0,Scary Movie ,278020000.0,Miramax,19000000.0,R,88.0,Comedy
540.0,xXx ,277448000.0,Revolution Studios,70000000.0,PG-13,124.0,Action Adventure Thriller
541.0,The Bourne Legacy ,276145000.0,Universal Pictures,125000000.0,PG-13,135.0,Action Adventure Thriller
542.0,Mr. Peabody & Sherman ,275698000.0,Twentieth Century Fox,145000000.0,PG,92.0,Adventure Animation Comedy Family Sci-Fi
543.0,Scooby-Doo ,275651000.0,Warner Bros.,84000000.0,PG,86.0,Adventure Comedy Family Fantasy Mystery
544.0,Lincoln ,275293000.0,Walt Disney Studios Motion Pictures,65000000.0,PG-13,150.0,Biography Drama History War
545.0,Lara Croft: Tomb Raider ,274703000.0,Paramount Pictures,115000000.0,PG-13,100.0,Action Adventure Fantasy Thriller
546.0,Tomb Raider ,274651000.0,Warner Bros.,94000000.0,PG-13,119.0,Action Adventure Fantasy Thriller
547.0,The Expendables ,274470000.0,Lionsgate,80000000.0,R,103.0,Action Adventure Thriller
548.0,Cloudy with a Chance of Meatballs 2 ,274326000.0,Sony Pictures Releasing,78000000.0,PG,95.0,Adventure Animation Comedy Family Fantasy Sci-Fi
549.0,The Little Mermaid ,274176000.0,Walt Disney Studios Motion Pictures,,,83.0,Animation Family Fantasy Musical Romance
550.0,The Nutty Professor ,273961000.0,Universal Pictures,54000000.0,PG-13,95.0,Comedy Romance Sci-Fi
551.0,Jerry Maguire ,273553000.0,Sony Pictures Releasing,50000000.0,R,139.0,Comedy Drama Romance Sport
552.0,Bad Boys II ,273340000.0,Sony Pictures Releasing,130000000.0,R,147.0,Action Comedy Crime Thriller
553.0,Lilo & Stitch ,273144000.0,Walt Disney Studios Motion Pictures,80000000.0,PG,85.0,Adventure Animation Comedy Drama Family Fantasy Sci-Fi
554.0,The Silence of the Lambs ,272754000.0,Orion Pictures,19000000.0,,118.0,Crime Drama Thriller
555.0,Grown Ups ,271430000.0,Sony Pictures Releasing,80000000.0,PG-13,102.0,Comedy
556.0,Neighbors ,270665000.0,Universal Pictures,18000000.0,R,97.0,Comedy
557.0,The Firm ,270248000.0,Paramount Pictures,,R,154.0,Drama Mystery Thriller
558.0,We're the Millers ,269994000.0,Warner Bros.,37000000.0,R,110.0,Comedy Crime
559.0,Gran Torino ,269958000.0,Warner Bros.,33000000.0,R,116.0,Drama
560.0,"10,000 BC ",269784000.0,Warner Bros.,105000000.0,PG-13,109.0,Action Adventure Drama Fantasy History
561.0,American Gangster ,269755000.0,Universal Pictures,100000000.0,R,157.0,Biography Crime Drama Thriller
562.0,Epic ,268427000.0,Twentieth Century Fox,100000000.0,PG,102.0,Adventure Animation Family Fantasy Mystery Thriller
563.0,Exodus: Gods and Kings ,268176000.0,Twentieth Century Fox,140000000.0,PG-13,150.0,Action Drama Fantasy
564.0,Bambi ,267447000.0,RKO Radio Pictures,,,70.0,Animation Drama Family
565.0,The Princess and the Frog ,267046000.0,Walt Disney Studios Motion Pictures,105000000.0,,97.0,Adventure Animation Comedy Family Fantasy Musical Romance
566.0,Batman Returns ,266903000.0,Warner Bros.,80000000.0,PG-13,126.0,Action Crime Fantasy
567.0,Indecent Proposal ,266614000.0,Paramount Pictures,,R,117.0,Drama Romance
568.0,Something's Gotta Give ,265329000.0,Sony Pictures Releasing,80000000.0,PG-13,128.0,Comedy Drama Romance
569.0,Bridget Jones: The Edge of Reason ,265127000.0,Universal Pictures,40000000.0,R,108.0,Comedy Drama Romance
570.0,The Incredible Hulk ,264771000.0,Universal Pictures,150000000.0,PG-13,112.0,Action Adventure Sci-Fi
571.0,Waterworld ,264218000.0,Universal Pictures,175000000.0,PG-13,135.0,Action Adventure Sci-Fi
572.0,The Truman Show ,264118000.0,Paramount Pictures,,PG,103.0,Comedy Drama Sci-Fi
573.0,Charlie's Angels ,264106000.0,Sony Pictures Releasing,93000000.0,PG-13,98.0,Action Adventure Comedy Crime Thriller
574.0,The Fifth Element ,264030000.0,Sony Pictures Releasing,,PG-13,126.0,Action Adventure Sci-Fi
575.0,Jumanji ,262822000.0,Sony Pictures Releasing,65000000.0,PG,104.0,Adventure Comedy Family Fantasy
576.0,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,262553000.0,Twentieth Century Fox,18000000.0,R,84.0,Comedy
577.0,Robots ,262511000.0,Twentieth Century Fox,75000000.0,PG,91.0,Adventure Animation Comedy Family Sci-Fi
578.0,Knight and Day ,261990000.0,,,PG-13,109.0,Action Adventure Comedy
579.0,Total Recall ,261318000.0,Sony Pictures Releasing,65000000.0,,113.0,Action Sci-Fi Thriller
580.0,This Is It ,261184000.0,Sony Pictures Releasing,,PG,111.0,Documentary Drama Music
581.0,Terminator: Dark Fate ,261119000.0,Paramount Pictures,185000000.0,R,128.0,Action Adventure Sci-Fi
582.0,Blade Runner 2049 ,260512000.0,Warner Bros.,150000000.0,R,164.0,Action Drama Mystery Sci-Fi Thriller
583.0,The Lone Ranger ,260502000.0,Walt Disney Studios Motion Pictures,215000000.0,PG-13,150.0,Action Adventure Comedy Thriller War Western
584.0,Super 8 ,260096000.0,Paramount Pictures,50000000.0,PG-13,112.0,Action Mystery Sci-Fi Thriller
585.0,Mojin - The Lost Legend ,259368000.0,Well Go USA Entertainment,37000000.0,,127.0,Action Adventure Drama Fantasy Horror Mystery Thriller
586.0,Charlie's Angels: Full Throttle ,259176000.0,Sony Pictures Releasing,120000000.0,PG-13,106.0,Action Adventure Comedy Crime
587.0,Rush Hour 3 ,258097000.0,New Line Cinema,140000000.0,PG-13,91.0,Action Comedy Crime Thriller
588.0,The Full Monty ,257939000.0,Fox Searchlight Pictures,3500000.0,R,91.0,Comedy Drama
589.0,Kung Fu Yoga ,257743000.0,Well Go USA Entertainment,65000000.0,,107.0,Action Adventure Comedy Fantasy Mystery
590.0,Annabelle ,257048000.0,Warner Bros.,6500000.0,R,99.0,Horror Mystery Thriller
591.0,The Village ,256698000.0,Walt Disney Studios Motion Pictures,60000000.0,PG-13,108.0,Drama Mystery Thriller
592.0,Lost in Hong Kong ,256284000.0,Well Go USA Entertainment,,,114.0,Action Adventure Comedy Crime Romance
593.0,Erin Brockovich ,256271000.0,Universal Pictures,52000000.0,R,131.0,Biography Drama
594.0,Pegasus ,95871.0,,,,,Comedy Sport
595.0,Marley & Me ,255743000.0,Twentieth Century Fox,,PG,115.0,Comedy Drama Family
596.0,Halloween ,255485000.0,Universal Pictures,10000000.0,R,106.0,Horror Thriller
597.0,Get Out ,255414000.0,Universal Pictures,4500000.0,R,104.0,Horror Mystery Thriller
598.0,Us ,255106000.0,Universal Pictures,20000000.0,R,116.0,Horror Mystery Thriller
599.0,Cliffhanger ,255000000.0,TriStar Pictures,70000000.0,R,113.0,Action Adventure Thriller
600.0,Baahubali 2: The Conclusion ,254158000.0,Great India Films,,,167.0,Action Drama
